Word,Rank,Frequency
the,1,13271
and,2,6546
of,3,6373
a,4,6136
to,5,4026
he,6,3811
in,7,3583
i,8,2978
that,9,2969
it,10,2837
was,11,2798
his,12,2695
you,13,2487
with,14,2113
as,15,1820
but,16,1694
is,17,1648
said,18,1575
had,19,1508
at,20,1248
on,21,1220
for,22,1185
not,23,1184
they,24,1012
him,25,994
s,26,975
be,27,970
all,28,953
this,29,951
have,30,926
man,31,922
like,32,921
or,33,860
one,34,798
an,35,797
if,36,791
were,37,779
which,38,766
there,39,758
by,40,749
are,41,738
we,42,714
out,43,664
up,44,653
what,45,632
from,46,628
t,47,615
so,48,613
who,49,570
then,50,550
turnbull,51,545
my,52,527
syme,53,519
more,54,510
me,55,503
about,56,500
into,57,498
other,58,487
no,59,483
when,60,477
only,61,476
do,62,474
some,63,467
them,64,456
will,65,442
could,66,439
very,67,433
macian,68,426
been,69,410
your,70,396
would,71,395
can,72,394
down,73,380
their,74,380
than,75,376
two,76,374
know,77,370
face,78,366
little,79,360
did,80,342
even,81,342
has,82,333
brown,83,326
old,84,322
well,85,320
seemed,86,319
see,87,318
quite,88,316
now,89,310
say,90,303
think,91,296
looked,92,290
am,93,283
something,94,281
us,95,280
still,96,280
long,97,271
after,98,260
any,99,260
father,100,257
men,101,257
over,102,255
head,103,254
made,104,250
don,105,249
really,106,246
eyes,107,245
thing,108,244
himself,109,244
her,110,242
great,111,242
before,112,240
came,113,240
rather,114,239
asked,115,239
cried,116,238
black,117,238
first,118,235
such,119,234
voice,120,234
why,121,234
back,122,234
come,123,232
almost,124,231
went,125,230
here,126,225
just,127,224
she,128,221
might,129,217
saw,130,217
time,131,215
mr,132,214
never,133,214
our,134,214
because,135,212
again,136,211
may,137,204
last,138,204
must,139,201
its,140,200
god,141,199
mean,142,199
upon,143,194
way,144,192
good,145,190
sort,146,188
off,147,187
should,148,185
stood,149,180
world,150,180
own,151,180
things,152,179
yet,153,179
most,154,178
those,155,178
under,156,177
place,157,174
through,158,173
much,159,173
round,160,172
red,161,171
whole,162,171
these,163,170
white,164,170
professor,165,170
right,166,169
thought,167,167
found,168,167
suddenly,169,164
where,170,161
half,171,159
too,172,156
being,173,156
sea,174,155
tell,175,155
go,176,154
away,177,153
moment,178,153
turned,179,153
garden,180,152
look,181,152
against,182,152
how,183,151
hair,184,150
heard,185,149
behind,186,149
began,187,148
looking,188,148
nothing,189,146
though,190,146
same,191,145
once,192,144
hand,193,144
answered,194,144
people,195,143
yes,196,142
let,197,142
priest,198,142
evan,199,141
room,200,139
also,201,138
shall,202,138
always,203,138
dark,204,137
dr,205,137
door,206,136
house,207,135
figure,208,135
got,209,134
three,210,134
another,211,134
across,212,134
without,213,133
want,214,131
light,215,131
end,216,130
flambeau,217,130
sword,218,128
put,219,127
enough,220,127
going,221,124
seen,222,123
left,223,122
small,224,121
towards,225,121
side,226,121
gregory,227,120
take,228,120
blue,229,119
make,230,119
every,231,119
silence,232,118
grey,233,117
police,234,117
get,235,117
table,236,115
bull,237,115
each,238,115
kind,239,115
fight,240,115
anything,241,114
both,242,114
between,243,113
new,244,112
road,245,110
gentleman,246,110
took,247,109
hat,248,109
word,249,109
oh,250,108
replied,251,108
perhaps,252,108
young,253,106
wall,254,106
m,255,106
sir,256,105
along,257,105
ever,258,104
many,259,104
life,260,103
felt,261,103
instant,262,101
fact,263,101
words,264,101
friend,265,101
sunday,266,99
fell,267,98
believe,268,98
knew,269,98
mere,270,97
street,271,97
name,272,96
far,273,96
feet,274,96
understand,275,96
human,276,95
above,277,94
does,278,93
ve,279,93
smile,280,92
sense,281,92
called,282,91
earth,283,90
open,284,90
certain,285,90
everything,286,90
front,287,90
high,288,89
point,289,89
few,290,89
large,291,88
find,292,87
glass,293,87
ran,294,87
big,295,86
least,296,86
doctor,297,86
whether,298,85
mad,299,85
mind,300,85
suppose,301,85
indeed,302,85
however,303,84
sat,304,84
already,305,83
gone,306,83
window,307,83
sky,308,83
evening,309,82
course,310,82
air,311,81
hands,312,80
heavy,313,78
spoke,314,78
whom,315,77
talk,316,77
beard,317,77
green,318,76
second,319,75
broke,320,75
short,321,75
common,322,74
colonel,323,74
ask,324,74
cross,325,74
part,326,74
president,327,73
told,328,73
girl,329,73
better,330,73
coming,331,72
itself,332,72
wrong,333,72
case,334,72
car,335,71
full,336,71
stick,337,71
marquis,338,71
myself,339,70
somewhat,340,70
secretary,341,70
eye,342,70
lady,343,70
poor,344,69
ll,345,69
french,346,69
give,347,69
cannot,348,69
opened,349,68
night,350,68
except,351,68
matter,352,68
certainly,353,67
dead,354,67
strange,355,67
fear,356,67
whose,357,67
wild,358,67
continued,359,67
else,360,67
day,361,66
square,362,66
while,363,66
english,364,66
either,365,65
done,366,65
trees,367,65
call,368,65
church,369,65
staring,370,64
struck,371,64
broken,372,64
morning,373,64
standing,374,64
fire,375,63
speak,376,63
tall,377,63
top,378,63
walked,379,63
beyond,380,63
gave,381,62
outside,382,62
ordinary,383,62
among,384,62
sun,385,61
hear,386,61
blood,387,61
story,388,61
stand,389,60
feel,390,60
fellow,391,60
next,392,60
having,393,60
re,394,60
nature,395,60
merely,396,60
truth,397,60
seem,398,59
alone,399,59
corner,400,59
rose,401,59
policeman,402,59
low,403,58
passed,404,58
heaven,405,58
free,406,58
ship,407,58
less,408,57
strong,409,57
repeated,410,57
somehow,411,57
read,412,57
family,413,57
gold,414,57
woman,415,57
wood,416,56
answer,417,56
swords,418,56
set,419,56
together,420,56
nose,421,55
forward,422,55
silent,423,55
talking,424,55
sudden,425,55
close,426,55
public,427,54
question,428,54
london,429,54
seems,430,54
fallen,431,54
shop,432,54
secret,433,54
walking,434,54
devil,435,54
empty,436,54
friends,437,54
sure,438,53
reason,439,53
silver,440,53
fancy,441,53
boulnois,442,52
cut,443,52
real,444,52
until,445,52
simply,446,51
yellow,447,51
modern,448,51
pale,449,51
hardly,450,50
flying,451,50
bright,452,50
help,453,50
true,454,49
lay,455,49
person,456,49
huge,457,49
iron,458,49
muscari,459,49
lord,460,49
taken,461,48
sunset,462,48
hour,463,48
flung,464,48
grass,465,48
business,466,48
mouth,467,48
abruptly,468,47
moon,469,47
exactly,470,47
slowly,471,47
doubt,472,47
paper,473,47
followed,474,47
turn,475,47
best,476,47
keep,477,47
didn,478,47
minutes,479,47
remember,480,47
coat,481,47
river,482,46
caught,483,46
appeared,484,46
laughter,485,46
passage,486,46
heart,487,46
added,488,46
since,489,46
lifted,490,46
cloud,491,45
clear,492,45
run,493,45
nor,494,45
happy,495,45
country,496,45
four,497,45
manner,498,44
themselves,499,44
fall,500,44
anarchist,501,44
streets,502,44
d,503,44
poet,504,44
shape,505,44
inside,506,44
chair,507,44
cold,508,44
tree,509,44
town,510,44
simple,511,44
clothes,512,44
seat,513,44
third,514,44
afraid,515,44
gentlemen,516,44
often,517,43
others,518,43
stone,519,43
plain,520,43
england,521,43
stop,522,43
soon,523,43
companion,524,43
stars,525,43
afterwards,526,43
enemy,527,43
saying,528,42
st,529,42
hundred,530,42
order,531,42
love,532,42
body,533,42
sitting,534,42
hill,535,42
sprang,536,42
means,537,42
extraordinary,538,42
hard,539,42
probably,540,42
held,541,41
lost,542,41
kept,543,41
known,544,41
sand,545,41
pointed,546,41
doing,547,41
shot,548,41
serious,549,40
line,550,40
sent,551,40
meant,552,40
ball,553,40
project,554,40
water,555,40
tower,556,40
soul,557,40
leave,558,40
till,559,40
die,560,39
natural,561,39
ought,562,39
anyone,563,39
hold,564,39
tried,565,39
swung,566,39
happened,567,39
michael,568,39
five,569,39
making,570,39
slight,571,39
past,572,39
dress,573,39
sometimes,574,39
shadow,575,39
used,576,38
society,577,38
break,578,38
showed,579,38
gesture,580,38
miss,581,38
living,582,38
broad,583,38
below,584,38
need,585,38
burst,586,38
days,587,38
faces,588,38
wanted,589,38
path,590,38
de,591,37
stared,592,37
work,593,37
gogol,594,37
france,595,37
wine,596,37
entirely,597,37
bad,598,37
death,599,37
machine,600,37
pocket,601,37
king,602,37
money,603,37
explain,604,36
fanshaw,605,36
duel,606,36
middle,607,36
kill,608,36
queer,609,36
science,610,36
within,611,36
won,612,36
particular,613,36
running,614,36
sight,615,36
seconds,616,35
fixed,617,35
important,618,35
crime,619,35
six,620,35
master,621,35
form,622,35
nearer,623,35
possible,624,35
smiling,625,35
hope,626,35
stopped,627,35
enormous,628,35
edge,629,35
flowers,630,35
stranger,631,35
colour,632,35
grew,633,35
train,634,35
odd,635,35
whatever,636,35
dropped,637,35
says,638,34
james,639,34
idea,640,34
detective,641,34
pleasure,642,34
walk,643,34
longer,644,34
lit,645,34
farther,646,34
curious,647,34
home,648,34
years,649,34
turning,650,34
growing,651,34
different,652,34
innocent,653,34
steel,654,34
curiosity,655,34
solid,656,34
duke,657,34
presence,658,34
scientific,659,34
arms,660,33
surprise,661,33
pause,662,33
hole,663,33
beautiful,664,33
yards,665,33
anarchists,666,33
universe,667,33
bit,668,33
brought,669,33
law,670,33
rest,671,33
position,672,33
laughing,673,33
shoulders,674,33
speech,675,33
carried,676,33
sharply,677,33
honour,678,33
todhunter,679,33
save,680,33
lean,681,33
darkness,682,33
wore,683,33
