,awayTeamId,awayTeamName,competitionId,date,homeTeamId,homeTeamName,id,matchday,status,FinalScore,HalfTimeScore,Div,Date,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
0,548,AS Monaco FC,396,2016-01-30,532,Angers SCO,146128,23,FINISHED,3:0,0:0,F1,30/01/16,3.0,0.0,H,2.0,0.0,H,19.0,9.0,10.0,4.0,16.0,10.0,5.0,5.0,2.0,3.0,0.0,0.0,3.4,3.0,2.38,3.2,3.1,2.4,3.1,3.1,2.3,3.3,2.9,2.3,3.53,3.05,2.42,3.2,3.0,2.4,3.4,3.0,2.4,47.0,3.53,3.33,3.1,2.99,2.47,2.36,34.0,2.86,2.62,1.55,1.47,27.0,0.25,1.88,1.84,2.07,2.01,3.65,3.08,2.37
1,527,AS Saint-Étienne,396,2016-03-05,532,Angers SCO,146068,29,FINISHED,0:0,0:0,F1,05/03/16,0.0,0.0,D,0.0,0.0,D,7.0,7.0,1.0,1.0,8.0,15.0,4.0,5.0,4.0,3.0,0.0,0.0,3.1,3.0,2.55,3.1,2.85,2.5,2.9,3.15,2.4,3.0,2.9,2.5,3.1,3.02,2.69,3.1,3.0,2.5,3.1,2.9,2.7,47.0,3.15,3.05,3.15,2.94,2.7,2.57,33.0,3.0,2.78,1.5,1.42,29.0,0.0,2.15,2.08,1.83,1.77,3.51,3.01,2.45
2,538,EA Guingamp,396,2015-10-24,532,Angers SCO,146248,11,FINISHED,0:0,0:0,F1,24/10/15,0.0,0.0,D,0.0,0.0,D,10.0,11.0,2.0,2.0,20.0,12.0,7.0,7.0,2.0,2.0,1.0,0.0,2.4,3.0,3.3,2.45,3.0,3.3,2.3,3.1,3.1,2.4,2.9,3.2,2.53,3.04,3.32,2.62,3.1,2.75,2.5,3.1,3.3,43.0,2.62,2.46,3.15,3.0,3.32,3.13,33.0,2.74,2.59,1.55,1.48,22.0,0.0,1.74,1.7,2.25,2.19,2.7,3.14,2.98
3,531,ES Troyes AC,396,2015-09-19,532,Angers SCO,146298,6,FINISHED,1:0,0:0,F1,19/09/15,1.0,0.0,H,0.0,0.0,D,16.0,14.0,4.0,0.0,15.0,15.0,6.0,5.0,2.0,3.0,1.0,0.0,2.1,3.1,4.0,2.1,3.0,3.8,2.1,3.15,3.45,2.0,3.1,3.8,2.06,3.32,4.18,2.1,3.2,3.75,2.1,3.3,4.1,39.0,2.15,2.05,3.34,3.2,4.18,3.81,28.0,2.5,2.38,1.63,1.55,23.0,-0.5,2.09,2.04,1.85,1.8,2.43,3.24,3.32
4,526,FC Girondins de Bordeaux,396,2015-12-13,532,Angers SCO,146178,18,FINISHED,1:1,0:1,F1,13/12/15,1.0,1.0,D,0.0,1.0,A,7.0,3.0,3.0,2.0,13.0,9.0,5.0,4.0,1.0,2.0,0.0,0.0,2.4,3.0,3.3,2.45,3.0,3.0,2.5,3.1,2.8,2.4,2.9,3.25,2.45,3.1,3.39,2.5,3.0,3.1,2.45,3.0,3.5,49.0,2.5,2.42,3.15,3.0,3.5,3.19,37.0,2.9,2.66,1.51,1.45,26.0,-0.25,2.07,2.02,1.89,1.83,2.61,3.08,3.2
5,525,FC Lorient,396,2016-03-19,532,Angers SCO,146048,31,FINISHED,5:1,0:0,F1,19/03/16,5.0,1.0,H,3.0,1.0,H,23.0,6.0,10.0,2.0,12.0,17.0,6.0,2.0,1.0,4.0,0.0,0.0,2.6,3.0,3.0,2.4,3.1,3.0,2.5,3.1,2.8,2.5,3.0,2.9,2.64,3.15,3.05,2.62,3.0,2.9,2.6,3.1,3.0,46.0,2.64,2.54,3.2,3.05,3.13,2.96,34.0,2.53,2.41,1.58,1.53,28.0,0.0,1.85,1.8,2.11,2.05,2.52,3.05,3.4
6,543,FC Nantes,396,2015-08-15,532,Angers SCO,146338,2,FINISHED,0:0,0:0,F1,15/08/15,0.0,0.0,D,0.0,0.0,D,10.0,2.0,3.0,1.0,12.0,17.0,4.0,2.0,3.0,4.0,0.0,0.0,2.5,3.1,3.1,2.6,3.0,2.85,2.3,3.1,3.1,2.5,3.0,3.0,2.55,3.03,3.3,2.6,3.0,2.9,2.5,3.0,3.4,43.0,2.6,2.46,3.25,3.01,3.4,3.11,36.0,2.9,2.78,1.5,1.42,28.0,-0.25,2.14,2.07,1.83,1.78,2.58,3.0,3.34
7,555,Gazélec Ajaccio,396,2016-04-09,532,Angers SCO,146028,33,FINISHED,0:0,0:0,F1,09/04/16,0.0,0.0,D,0.0,0.0,D,7.0,2.0,1.0,1.0,9.0,26.0,2.0,6.0,1.0,5.0,0.0,0.0,2.15,3.2,3.5,2.0,3.1,4.0,2.0,3.2,3.75,2.1,3.1,3.75,2.19,3.18,3.94,2.05,3.1,4.0,2.2,3.1,3.8,47.0,2.2,2.11,3.3,3.14,4.0,3.71,34.0,2.71,2.53,1.55,1.5,29.0,-0.25,1.89,1.82,2.12,2.02,2.23,3.18,3.88
8,518,Montpellier Hérault SC,396,2016-02-20,532,Angers SCO,146088,27,FINISHED,2:3,0:0,F1,20/02/16,2.0,3.0,A,0.0,3.0,A,13.0,12.0,4.0,5.0,14.0,17.0,1.0,6.0,0.0,1.0,0.0,0.0,2.9,3.0,2.65,2.8,2.9,2.7,2.7,3.0,2.7,2.9,2.9,2.62,2.99,3.03,2.77,2.9,2.9,2.7,3.0,2.9,2.75,46.0,3.05,2.88,3.05,2.95,2.83,2.68,33.0,2.86,2.7,1.5,1.44,29.0,0.0,2.06,1.99,1.9,1.85,3.38,3.05,2.52
9,522,OGC Nice,396,2015-08-29,532,Angers SCO,146318,4,FINISHED,1:1,0:0,F1,29/08/15,1.0,1.0,D,1.0,0.0,H,5.0,11.0,2.0,5.0,14.0,8.0,3.0,6.0,2.0,2.0,0.0,0.0,2.3,3.1,3.4,2.3,3.1,3.2,2.2,3.1,3.3,2.2,2.9,3.3,2.29,3.18,3.64,2.25,3.0,3.5,2.3,3.13,3.7,37.0,2.5,2.24,3.25,3.08,3.7,3.4,28.0,2.63,2.51,1.55,1.5,22.0,-0.25,1.97,1.92,1.99,1.92,2.34,3.32,3.44
