,awayTeamId,awayTeamName,competitionId,date,homeTeamId,homeTeamName,id,matchday,status,FinalScore,HalfTimeScore,Div,Date,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
0,18,Bor. Mönchengladbach,394,2015-12-12,3,Bayer Leverkusen,145529,16,FINISHED,5:0,0:0,D1,2015-12-12,5,0,H,1,0,H,14,6,6,2,13,19,4,2,0,2,0,0,1.95,3.75,3.75,2.0,3.6,3.7,2.1,3.3,3.3,1.91,3.75,3.6,1.99,3.92,3.81,2.0,3.5,3.6,2.0,3.8,3.6,48,2.1,1.96,3.98,3.69,3.85,3.65,42,1.68,1.62,2.38,2.26,28,-0.5,2.0,1.95,1.96,1.91,1.76,4.15,4.76
1,4,Borussia Dortmund,394,2016-02-21,3,Bayer Leverkusen,145474,22,FINISHED,0:1,0:0,D1,2016-02-21,0,1,A,0,0,D,9,7,2,2,20,10,8,1,5,1,0,0,3.4,3.5,2.1,3.4,3.4,2.15,3.1,3.3,2.2,3.3,3.4,2.15,3.31,3.58,2.28,3.3,3.3,2.2,3.25,3.6,2.2,45,3.4,3.25,3.67,3.44,2.32,2.19,36,1.89,1.82,2.08,1.98,29,0.25,2.0,1.94,1.97,1.92,2.79,3.45,2.69
2,19,Eintracht Frankfurt,394,2016-04-16,3,Bayer Leverkusen,145403,30,FINISHED,3:0,0:0,D1,2016-04-16,3,0,H,0,0,D,12,9,6,6,15,21,3,2,4,3,0,0,1.36,5.25,8.0,1.36,5.0,7.5,1.4,4.5,7.0,1.36,5.0,8.5,1.41,5.18,8.56,1.4,4.5,8.0,1.36,5.25,8.5,46,1.41,1.37,5.29,4.93,8.77,8.21,35,1.66,1.6,2.45,2.28,30,-1.5,2.15,2.06,1.84,1.8,1.51,4.69,6.85
3,16,FC Augsburg,394,2015-10-04,3,Bayer Leverkusen,145600,8,FINISHED,1:1,0:0,D1,2015-10-04,1,1,D,1,1,D,22,3,8,0,13,22,9,1,2,3,0,0,1.4,4.75,8.0,1.4,4.75,8.0,1.4,4.4,7.3,1.36,4.5,8.5,1.4,5.05,9.21,1.4,4.2,9.0,1.4,5.0,8.0,42,1.41,1.38,5.13,4.71,9.21,8.29,33,1.67,1.62,2.35,2.26,24,-1.5,2.15,2.1,1.81,1.78,1.41,5.2,8.26
4,5,FC Bayern München,394,2016-02-06,3,Bayer Leverkusen,145492,20,FINISHED,0:0,0:0,D1,2016-02-06,0,0,D,0,0,D,6,9,2,1,17,11,6,8,0,0,0,1,5.25,4.2,1.6,5.5,4.1,1.65,5.1,3.6,1.65,5.25,4.0,1.62,5.77,4.32,1.63,5.0,3.8,1.67,5.25,4.3,1.62,43,5.77,5.34,4.42,4.09,1.67,1.61,37,1.78,1.71,2.17,2.1,27,1.0,1.85,1.81,2.12,2.05,5.35,4.08,1.7
5,31,FC Ingolstadt 04,394,2016-05-14,3,Bayer Leverkusen,145367,34,FINISHED,3:2,0:0,D1,2016-05-14,3,2,H,2,1,H,10,21,6,5,17,12,2,4,1,1,0,0,1.5,4.33,6.5,1.5,4.33,5.75,1.5,4.0,6.1,1.5,4.5,5.5,1.56,4.82,5.88,1.44,4.33,6.0,1.53,4.75,5.75,49,1.55,1.51,4.82,4.45,6.75,6.03,32,1.53,1.48,2.81,2.56,30,-1.0,1.88,1.83,2.1,2.03,1.69,4.2,5.27
6,6,FC Schalke 04,394,2015-11-29,3,Bayer Leverkusen,145547,14,FINISHED,1:1,0:0,D1,2015-11-29,1,1,D,0,0,D,18,8,6,3,9,11,9,5,1,2,0,0,1.62,4.2,5.25,1.67,3.9,5.25,1.7,3.7,4.5,1.62,3.8,5.25,1.66,4.19,5.55,1.67,3.8,5.0,1.7,4.2,5.0,49,1.7,1.64,4.2,3.97,5.55,5.15,44,1.71,1.65,2.28,2.21,29,0.75,1.92,1.84,2.1,2.01,1.72,4.19,4.98
7,7,Hamburger SV,394,2016-03-13,3,Bayer Leverkusen,145438,26,FINISHED,1:0,0:0,D1,2016-03-13,1,0,H,1,0,H,14,10,4,5,18,17,5,7,4,2,1,0,1.67,3.75,5.5,1.62,3.9,5.0,1.7,3.7,4.5,1.62,3.8,5.25,1.64,4.21,5.82,1.65,4.0,5.0,1.62,4.2,5.5,45,1.7,1.62,4.21,3.96,5.82,5.34,37,1.8,1.74,2.16,2.06,30,-1.0,2.15,2.07,1.85,1.8,1.63,4.12,6.1
8,8,Hannover 96,394,2016-01-30,3,Bayer Leverkusen,145502,19,FINISHED,3:0,0:0,D1,2016-01-30,3,0,H,1,0,H,14,7,6,2,10,21,6,6,0,3,0,0,1.25,6.0,12.0,1.3,5.5,10.0,1.35,4.8,7.6,1.29,5.5,11.0,1.3,5.93,11.92,1.3,5.0,11.0,1.29,6.0,10.5,45,1.35,1.29,6.0,5.61,12.06,10.27,36,1.55,1.5,2.75,2.54,26,-1.5,1.83,1.79,2.13,2.07,1.28,6.54,11.81
9,9,Hertha BSC,394,2016-04-30,3,Bayer Leverkusen,145385,32,FINISHED,2:1,0:0,D1,2016-04-30,2,1,H,2,1,H,18,9,8,3,14,20,6,4,1,6,0,0,1.62,3.75,6.0,1.62,4.0,5.5,1.55,4.0,5.5,1.62,3.8,5.5,1.63,4.2,5.95,1.67,3.75,5.0,1.6,4.2,5.75,46,1.67,1.61,4.2,3.98,6.0,5.54,40,1.87,1.82,2.07,1.98,31,-1.0,2.16,2.06,1.85,1.81,1.62,4.18,6.13
