,awayTeamId,awayTeamName,competitionId,date,homeTeamId,homeTeamName,id,matchday,status,FinalScore,HalfTimeScore,Div,Date,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
0,57,Arsenal FC,398,2016-02-07,1044,AFC Bournemouth,147093,25,FINISHED,0:2,0:0,E0,2016-02-07,0,2,A,0,2,A,K Friend,17,10,4,5,6,8,7,3,0,1,0,0,3.8,3.5,2.1,3.7,3.4,2.05,3.6,3.3,2.0,3.6,3.4,2.05,3.84,3.58,2.08,4.0,3.2,2.0,4.0,3.5,2.05,45,4.0,3.72,3.66,3.41,2.13,2.05,37,2.1,2.02,1.85,1.77,26,0.5,1.86,1.83,2.09,2.04,4.53,3.66,1.9
1,58,Aston Villa FC,398,2015-08-08,1044,AFC Bournemouth,147117,1,FINISHED,0:1,0:0,E0,2015-08-08,0,1,A,0,0,D,M Clattenburg,11,7,2,3,13,13,6,3,3,4,0,0,2.0,3.6,4.0,2.0,3.3,3.7,2.1,3.3,3.3,2.05,3.3,4.0,1.95,3.65,4.27,1.91,3.5,4.0,2.0,3.5,4.2,45,2.1,1.96,3.65,3.48,4.33,3.98,43,2.11,2.02,1.88,1.79,26,-0.5,1.98,1.93,1.99,1.92,1.82,3.88,4.7
2,61,Chelsea FC,398,2016-04-23,1044,AFC Bournemouth,147083,35,FINISHED,1:4,0:0,E0,2016-04-23,1,4,A,1,2,A,R East,13,16,4,4,11,4,10,7,1,0,0,0,3.1,3.5,2.4,2.9,3.3,2.35,2.65,3.3,2.5,3.0,3.5,2.4,3.09,3.6,2.39,3.1,3.1,2.4,3.1,3.6,2.38,47,3.1,2.99,3.61,3.43,2.5,2.35,39,1.85,1.77,2.12,2.03,29,0.25,1.88,1.84,2.07,2.01,3.55,3.68,2.14
3,354,Crystal Palace FC,398,2015-12-26,1044,AFC Bournemouth,147100,18,FINISHED,0:0,0:0,E0,2015-12-26,0,0,D,0,0,D,M Oliver,10,8,4,0,10,13,8,9,1,0,0,0,2.4,3.3,3.0,2.45,3.4,2.9,2.4,3.3,2.75,2.3,3.3,3.0,2.48,3.45,3.06,2.5,3.2,2.9,2.45,3.4,3.1,48,2.5,2.42,3.46,3.33,3.1,2.98,43,2.03,1.95,1.92,1.84,29,-0.25,2.13,2.05,1.86,1.82,2.14,3.48,3.77
4,62,Everton FC,398,2015-11-28,1044,AFC Bournemouth,147104,14,FINISHED,3:3,0:0,E0,2015-11-28,3,3,D,0,2,A,K Friend,19,11,10,6,6,6,10,5,2,0,0,0,2.9,3.6,2.5,2.65,3.4,2.5,2.75,3.3,2.4,2.9,3.5,2.5,2.95,3.53,2.51,2.9,3.2,2.5,3.0,3.6,2.4,49,3.0,2.87,3.6,3.41,2.51,2.45,44,1.85,1.78,2.12,2.03,28,0.0,2.16,2.09,1.82,1.78,2.65,3.66,2.7
5,338,Leicester City FC,398,2015-08-29,1044,AFC Bournemouth,147114,4,FINISHED,1:1,0:0,E0,2015-08-29,1,1,D,1,0,H,N Swarbrick,5,4,2,2,9,19,4,4,2,4,0,0,2.2,3.6,3.4,2.2,3.3,3.2,2.2,3.2,3.2,2.2,3.4,3.4,2.15,3.63,3.57,2.2,3.2,3.4,2.15,3.5,3.6,40,2.25,2.14,3.63,3.48,3.6,3.38,39,1.91,1.86,2.03,1.94,25,-0.25,1.88,1.84,2.08,2.02,2.06,3.65,3.82
6,64,Liverpool FC,398,2016-04-17,1044,AFC Bournemouth,147084,34,FINISHED,1:2,0:0,E0,2016-04-17,1,2,A,0,2,A,M Jones,18,19,5,6,9,9,5,4,0,0,0,0,3.6,3.5,2.15,3.3,3.4,2.1,3.3,3.3,2.1,3.5,3.4,2.2,3.71,3.52,2.14,3.5,3.25,2.15,3.6,3.5,2.15,49,3.71,3.46,3.52,3.42,2.2,2.13,41,2.04,1.96,1.91,1.84,31,0.25,2.1,2.01,1.88,1.85,2.69,3.48,2.77
7,65,Manchester City FC,398,2016-04-02,1044,AFC Bournemouth,147086,32,FINISHED,0:4,0:0,E0,2016-04-02,0,4,A,0,3,A,R Madley,11,15,2,7,9,8,4,4,0,1,0,0,3.75,3.6,2.1,3.6,3.4,2.0,3.6,3.3,2.0,3.75,3.5,2.05,3.7,3.65,2.1,3.75,3.3,2.05,3.7,3.6,2.1,45,3.75,3.62,3.71,3.5,2.13,2.05,40,1.9,1.81,2.06,1.99,29,0.5,1.87,1.82,2.11,2.06,3.94,3.72,2.01
8,66,Manchester United FC,398,2015-12-12,1044,AFC Bournemouth,147102,16,FINISHED,2:1,0:0,E0,2015-12-12,2,1,H,1,1,D,A Taylor,11,11,5,5,12,12,5,7,2,1,0,0,3.4,3.4,2.3,3.2,3.3,2.3,3.0,3.2,2.3,3.3,3.4,2.3,3.46,3.39,2.29,3.2,3.2,2.3,3.5,3.3,2.3,50,3.5,3.33,3.4,3.28,2.3,2.26,44,2.23,2.14,1.76,1.69,27,0.25,1.99,1.94,1.97,1.92,3.3,3.27,2.43
9,67,Newcastle United FC,398,2015-11-07,1044,AFC Bournemouth,147106,12,FINISHED,0:1,0:0,E0,2015-11-07,0,1,A,0,1,A,L Mason,20,2,5,1,9,11,16,0,2,2,0,0,2.25,3.5,3.4,2.25,3.4,3.1,2.2,3.3,3.1,2.2,3.5,3.4,2.18,3.56,3.57,2.25,3.1,3.4,2.2,3.6,3.5,43,2.25,2.2,3.6,3.44,3.57,3.3,38,1.9,1.83,2.07,1.98,23,-0.25,1.91,1.88,2.06,1.99,2.22,3.62,3.4
10,68,Norwich City FC,398,2016-01-16,1044,AFC Bournemouth,147096,22,FINISHED,3:0,1:0,E0,2016-01-16,3,0,H,1,0,H,R Madley,15,10,8,3,8,13,5,3,1,1,0,0,1.91,3.6,4.5,1.9,3.5,4.25,1.9,3.45,3.8,1.85,3.5,4.33,1.89,3.68,4.54,1.95,3.1,4.33,1.87,3.6,4.75,44,1.95,1.88,3.68,3.49,4.75,4.35,42,2.12,2.07,1.83,1.75,27,-0.5,1.9,1.87,2.05,2.0,1.9,3.6,4.62
